user_id,movie_id,rating
64,516,1
100,151,5
41,176,5
58,547,2
60,819,3
60,714,2
88,514,2
30,561,4
47,292,3
37,80,2
4,594,2
7,264,1
14,1488,1
88,258,3
28,849,3
63,705,3
32,824,3
84,288,3
58,620,1
88,750,5
14,206,3
88,478,4
28,202,3
86,732,4
28,402,5
53,3,2
69,478,2
28,632,5
20,245,4
14,643,1
100,100,5
3,596,2
53,235,3
35,371,1
21,521,1
58,207,3
4,392,2
63,194,5
19,833,2
26,4,1
54,475,3
28,482,3
1,943,5
60,949,2
88,281,1
17,1542,2
52,841,2
28,428,5
15,1051,2
79,1041,5
76,45,5
4,15,2
88,494,1
71,183,5
63,616,5
69,620,3
4,888,3
4,1380,2
68,125,2
74,156,2
5,874,3
75,85,5
7,12,1
30,627,5
66,173,4
61,202,4
50,70,2
50,222,5
2,919,5
39,742,5
1,1011,4
71,15,4
56,222,3
59,300,3
29,38,1
14,127,5
58,620,4
96,242,5
30,73,3
86,413,5
48,132,5
50,692,4
7,966,1
68,181,4
50,471,4
21,1438,1
7,177,3
69,751,3
40,166,5
24,895,5
53,151,4
100,7,3
88,417,2
44,663,5
63,195,5
3,485,1
73,582,1
69,699,4
45,686,3
58,514,4
14,748,3
72,305,3
69,191,4
8,10,3
74,117,3
12,1294,1
2,1054,1
61,180,5
5,259,2
50,358,1
12,475,1
58,75,4
40,484,4
14,673,3
66,357,5
12,990,5
93,742,3
68,473,4
38,595,2
51,984,3
79,756,1
7,403,2
27,538,1
29,300,5
53,1419,1
12,746,5
83,301,3
25,685,3
91,882,5
28,716,5
61,150,5
71,204,4
88,583,1
100,479,4
58,94,4
28,584,4
4,289,3
14,1440,2
88,153,2
7,219,1
14,470,1
14,384,2
17,538,4
68,1419,2
58,102,3
65,168,2
38,300,4
47,156,5
53,136,4
69,544,1
94,200,5
61,550,3
83,112,1
23,270,3
30,1089,3
12,26,4
50,379,1
86,1016,5
75,118,4
14,1531,1
41,692,2
36,874,5
1,204,2
45,308,2
82,898,5
100,132,4
88,480,2
68,408,3
58,693,4
75,1012,4
80,1662,1
14,742,3
60,714,2
32,484,3
6,173,5
60,228,3
6,243,1
53,185,4
95,1254,3
89,340,4
21,95,3
83,240,4
87,272,5
84,1152,2
58,118,3
17,303,1
2,559,1
12,320,3
10,681,3
97,339,5
64,516,1
57,332,3
12,131,2
58,399,4
28,188,5
79,845,5
51,218,3
94,228,5
36,268,5
63,313,2
97,525,3
8,1137,3
82,286,5
7,1024,1
4,269,3
2,354,3
70,121,4
93,222,4
4,633,2
14,932,1
54,11,2
41,169,5
68,497,4
82,311,3
83,1222,2
28,615,4
61,1222,3
72,308,3
58,144,3
12,226,5
7,520,3
58,588,1
50,295,4
20,259,3
62,272,4
76,827,3
61,756,2
44,269,3
50,176,4
56,193,4
40,97,4
37,225,3
69,980,1
6,289,5
74,204,3
43,977,1
100,86,4
58,986,2
21,280,1
28,318,5
19,553,4
58,728,3
45,144,4
50,564,1
93,282,3
78,1079,4
39,121,5
4,951,1
88,875,2
81,702,5
76,286,1
71,613,5
72,772,5
74,810,2
15,313,4
90,686,5
28,142,3
88,770,1
68,732,2
28,125,4
42,511,2
50,231,2
58,527,4
88,339,1
40,451,4
47,258,5
58,77,4
34,97,3
54,1100,2
69,1045,2
28,937,2
28,504,5
32,429,1
75,1291,1
61,578,3
53,143,1
86,233,4
10,906,1
74,754,4
78,9,5
14,929,2
61,729,2
50,4,1
7,1093,3
30,386,3
3,1028,2
55,744,3
81,1194,4
28,899,2
4,1254,3
7,167,1
23,325,2
76,175,5
55,411,1
58,829,1
90,409,1
75,235,2
71,27,4
7,755,2
50,358,2
4,1096,2
50,1337,3
32,222,3
55,313,2
