user_id,movie_id,rating
3,118,5
41,14,3
31,514,3
1,173,5
28,279,5
34,97,1
4,221,1
55,298,2
88,47,2
30,892,3
40,1047,3
86,566,5
2,1033,5
63,205,5
14,294,3
28,804,4
17,333,3
14,638,3
58,291,3
14,748,2
29,38,3
28,186,1
69,301,3
17,296,4
60,366,5
6,68,5
61,841,2
83,1483,2
21,679,3
41,1663,4
2,919,4
88,286,2
14,1208,1
76,155,3
28,752,3
28,237,5
53,250,4
10,147,4
13,3,5
12,873,1
6,272,5
41,407,5
14,724,3
50,116,2
4,54,2
58,66,4
66,272,5
86,616,5
43,117,4
42,379,5
28,10,5
50,154,2
50,818,1
88,875,2
94,200,5
14,333,3
4,1047,5
15,161,5
76,1058,5
28,569,5
28,973,2
42,1063,3
61,312,2
4,156,2
94,19,4
83,229,3
90,301,4
69,640,4
12,672,4
91,177,4
14,1132,1
29,637,2
30,556,3
58,1418,2
55,492,4
93,942,3
99,260,5
14,1283,3
71,763,5
88,81,1
6,1285,5
55,117,4
45,271,3
35,345,4
6,677,5
55,1054,2
67,39,3
7,12,1
84,328,3
58,71,4
21,323,5
38,423,5
86,509,5
17,303,1
88,379,5
52,117,4
32,377,2
93,845,3
4,295,2
6,1101,2
4,281,2
28,636,2
14,1029,2
87,24,4
75,11,5
37,1294,2
87,272,3
84,328,3
28,1316,3
86,710,1
61,15,3
4,127,2
14,672,3
88,871,4
68,243,4
95,403,5
35,681,2
71,2,5
21,238,5
14,237,4
21,128,1
88,879,3
46,395,3
38,294,3
28,177,5
53,250,5
31,116,5
88,177,4
86,866,5
7,66,1
50,98,4
38,804,3
4,819,2
83,790,2
79,283,5
35,157,4
49,181,5
14,761,2
88,225,1
17,240,2
38,128,1
19,296,4
4,350,2
50,251,2
69,781,2
14,4,3
14,194,4
69,222,4
28,390,4
81,562,5
98,313,4
14,226,4
2,483,5
30,286,4
91,111,4
60,139,1
58,255,1
46,838,4
28,81,4
28,1042,2
56,435,4
50,91,4
12,500,1
82,114,4
80,111,1
1,1152,2
94,164,4
5,428,4
51,341,4
50,742,2
42,449,4
4,186,1
88,903,4
83,689,5
7,11,5
4,1488,2
14,288,3
83,93,2
60,1086,4
16,191,5
